"","gamma_prime","n_unobservable","reps","gamma_dblprime","Nhat","p","fit"
"46484",0.85,75,1937,0.15,105.268638912609,0.183657103711787,0
"46487",0.7,75,1937,0.3,111.53446502241,0.212191511044693,0
"46489",1,10,1938,0,112.809631431475,0.186154317975882,0
"46491",0.9,10,1938,0.1,94.2987424388321,0.194417580332266,0
"46492",0.85,10,1938,0.15,76.4019036681312,0.248684903420643,0
"46495",0.7,10,1938,0.3,95.0261067909454,0.203452861431975,0
"46497",1,30,1938,0,101.623523599124,0.177124344467803,0
"46499",0.9,30,1938,0.1,158.050605400808,0.132868836199084,0
"46501",0.8,30,1938,0.2,147.938456390351,0.13744454166749,0
"46502",0.75,30,1938,0.25,77.3478682740698,0.215476742133487,0
"46506",0.95,75,1938,0.05,112.809631434136,0.186154317969391,0
"46507",0.9,75,1938,0.1,97.8887535853381,0.190692658584046,0
"46508",0.85,75,1938,0.15,109.131802333771,0.189373456914596,0
"46509",0.8,75,1938,0.2,69.7210106386831,0.239047978708151,0
"46510",0.75,75,1938,0.25,105.550363161941,0.173692754673261,0
"46511",0.7,75,1938,0.3,128.713909498265,0.147614193944254,0
"46513",1,10,1939,0,88.0673598257683,0.230883875405833,0
"46514",0.95,10,1939,0.05,115.170239778382,0.156290375326079,0
"46515",0.9,10,1939,0.1,101.545384796267,0.187108454393406,0
"46517",0.8,10,1939,0.2,126.295146066661,0.158359213500126,0
"46519",0.7,10,1939,0.3,105.550363175402,0.173692754641398,0
"46521",1,30,1939,0,85.0741865866725,0.235088935932718,0
"46522",0.95,30,1939,0.05,109.62954549259,0.197635286813667,0
"46524",0.85,30,1939,0.15,105.55036317463,0.173692754643224,0
"46527",0.7,30,1939,0.3,79.6170838948016,0.200961894323346,0
"46529",1,75,1939,0,91.6529860320923,0.243672730155386,0
"46530",0.95,75,1939,0.05,88.336591472704,0.211312960523667,0
"46531",0.9,75,1939,0.1,126.295146059608,0.158359213512424,0
"46532",0.85,75,1939,0.15,112.915026221292,0.177124344467705,0
"46533",0.8,75,1939,0.2,80.6048319013775,0.210905470540528,0
"46534",0.75,75,1939,0.25,90.7753482354059,0.198291720730309,0
