"","recruitmentLevel_bin","p_bin","prop","nocc_bin","0-0.5","0.5-0.8","0.8-1"
"296","30-60","0.04-0.06",0.1,"40-50",1,0,0
"297","30-60","0.04-0.06",0.15,"2-3",1,0,0
"298","30-60","0.04-0.06",0.15,"3-4",1,0,0
"299","30-60","0.04-0.06",0.15,"4-5",1,0,0
"300","30-60","0.04-0.06",0.15,"5-10",1,0,0
"301","30-60","0.04-0.06",0.15,"10-20",1,0,0
"302","30-60","0.04-0.06",0.15,"20-30",1,0,0
"303","30-60","0.04-0.06",0.15,"30-40",1,0,0
"304","30-60","0.04-0.06",0.15,"40-50",1,0,0
"305","30-60","0.04-0.06",0.2,"2-3",1,0,0
"306","30-60","0.04-0.06",0.2,"3-4",1,0,0
"307","30-60","0.04-0.06",0.2,"4-5",1,0,0
"308","30-60","0.04-0.06",0.2,"5-10",1,0,0
"309","30-60","0.04-0.06",0.2,"10-20",1,0,0
"310","30-60","0.04-0.06",0.2,"20-30",1,0,0
"311","30-60","0.04-0.06",0.2,"30-40",1,0,0
"312","30-60","0.04-0.06",0.2,"40-50",1,0,0
"313","30-60","0.04-0.06",0.25,"2-3",1,0,0
"314","30-60","0.04-0.06",0.25,"3-4",1,0,0
"315","30-60","0.04-0.06",0.25,"4-5",1,0,0
"316","30-60","0.04-0.06",0.25,"5-10",1,0,0
"317","30-60","0.04-0.06",0.25,"10-20",1,0,0
"318","30-60","0.04-0.06",0.25,"20-30",1,0,0
"319","30-60","0.04-0.06",0.25,"30-40",1,0,0
"320","30-60","0.04-0.06",0.25,"40-50",1,0,0
"321","30-60","0.06-0.08",0.05,"2-3",1,0,0
"322","30-60","0.06-0.08",0.05,"3-4",1,0,0
"323","30-60","0.06-0.08",0.05,"4-5",1,0,0
"324","30-60","0.06-0.08",0.05,"5-10",1,0,0
"325","30-60","0.06-0.08",0.05,"10-20",1,0,0
"326","30-60","0.06-0.08",0.05,"20-30",1,0,0
"327","30-60","0.06-0.08",0.05,"30-40",1,0,0
"328","30-60","0.06-0.08",0.05,"40-50",1,0,0
"329","30-60","0.06-0.08",0.1,"2-3",1,0,0
"330","30-60","0.06-0.08",0.1,"3-4",1,0,0
"331","30-60","0.06-0.08",0.1,"4-5",1,0,0
"332","30-60","0.06-0.08",0.1,"5-10",1,0,0
"333","30-60","0.06-0.08",0.1,"10-20",1,0,0
"334","30-60","0.06-0.08",0.1,"20-30",1,0,0
"335","30-60","0.06-0.08",0.1,"30-40",1,0,0
"336","30-60","0.06-0.08",0.1,"40-50",1,0,0
"337","30-60","0.06-0.08",0.15,"2-3",1,0,0
"338","30-60","0.06-0.08",0.15,"3-4",1,0,0
"339","30-60","0.06-0.08",0.15,"4-5",1,0,0
"340","30-60","0.06-0.08",0.15,"5-10",1,0,0
"341","30-60","0.06-0.08",0.15,"10-20",1,0,0
"342","30-60","0.06-0.08",0.15,"20-30",1,0,0
"343","30-60","0.06-0.08",0.15,"30-40",1,0,0
"344","30-60","0.06-0.08",0.15,"40-50",1,0,0
"345","30-60","0.06-0.08",0.2,"2-3",1,0,0
"346","30-60","0.06-0.08",0.2,"3-4",1,0,0
"347","30-60","0.06-0.08",0.2,"4-5",1,0,0
"348","30-60","0.06-0.08",0.2,"5-10",1,0,0
"349","30-60","0.06-0.08",0.2,"10-20",1,0,0
"350","30-60","0.06-0.08",0.2,"20-30",1,0,0
"351","30-60","0.06-0.08",0.2,"30-40",1,0,0
"352","30-60","0.06-0.08",0.2,"40-50",1,0,0
"353","30-60","0.06-0.08",0.25,"2-3",1,0,0
"354","30-60","0.06-0.08",0.25,"3-4",1,0,0
"355","30-60","0.06-0.08",0.25,"4-5",1,0,0
"356","30-60","0.06-0.08",0.25,"5-10",1,0,0
"357","30-60","0.06-0.08",0.25,"10-20",1,0,0
"358","30-60","0.06-0.08",0.25,"20-30",1,0,0
"359","30-60","0.06-0.08",0.25,"30-40",1,0,0
"360","30-60","0.06-0.08",0.25,"40-50",1,0,0
"361","30-60","0.08-0.1",0.05,"2-3",1,0,0
"362","30-60","0.08-0.1",0.05,"3-4",1,0,0
"363","30-60","0.08-0.1",0.05,"4-5",1,0,0
"364","30-60","0.08-0.1",0.05,"5-10",1,0,0
"365","30-60","0.08-0.1",0.05,"10-20",1,0,0
"366","30-60","0.08-0.1",0.05,"20-30",1,0,0
"367","30-60","0.08-0.1",0.05,"30-40",1,0,0
"368","30-60","0.08-0.1",0.05,"40-50",1,0,0
"369","30-60","0.08-0.1",0.1,"2-3",1,0,0
"370","30-60","0.08-0.1",0.1,"3-4",1,0,0
"371","30-60","0.08-0.1",0.1,"4-5",1,0,0
"372","30-60","0.08-0.1",0.1,"5-10",1,0,0
"373","30-60","0.08-0.1",0.1,"10-20",1,0,0
"374","30-60","0.08-0.1",0.1,"20-30",1,0,0
"375","30-60","0.08-0.1",0.1,"30-40",1,0,0
"376","30-60","0.08-0.1",0.1,"40-50",1,0,0
"377","30-60","0.08-0.1",0.15,"2-3",1,0,0
"378","30-60","0.08-0.1",0.15,"3-4",1,0,0
"379","30-60","0.08-0.1",0.15,"4-5",1,0,0
"380","30-60","0.08-0.1",0.15,"5-10",1,0,0
"381","30-60","0.08-0.1",0.15,"10-20",1,0,0
"382","30-60","0.08-0.1",0.15,"20-30",1,0,0
"383","30-60","0.08-0.1",0.15,"30-40",1,0,0
"384","30-60","0.08-0.1",0.15,"40-50",1,0,0
"385","30-60","0.08-0.1",0.2,"2-3",1,0,0
"386","30-60","0.08-0.1",0.2,"3-4",1,0,0
"387","30-60","0.08-0.1",0.2,"4-5",1,0,0
"388","30-60","0.08-0.1",0.2,"5-10",1,0,0
"389","30-60","0.08-0.1",0.2,"10-20",1,0,0
"390","30-60","0.08-0.1",0.2,"20-30",1,0,0
"391","30-60","0.08-0.1",0.2,"30-40",1,0,0
"392","30-60","0.08-0.1",0.2,"40-50",1,0,0
"393","30-60","0.08-0.1",0.25,"2-3",1,0,0
"394","30-60","0.08-0.1",0.25,"3-4",1,0,0
"395","30-60","0.08-0.1",0.25,"4-5",1,0,0
"396","30-60","0.08-0.1",0.25,"5-10",1,0,0
"397","30-60","0.08-0.1",0.25,"10-20",1,0,0
"398","30-60","0.08-0.1",0.25,"20-30",1,0,0
"399","30-60","0.08-0.1",0.25,"30-40",1,0,0
"400","30-60","0.08-0.1",0.25,"40-50",1,0,0
"401","60-100","0-0.02",0.05,"2-3",1,0,0
"402","60-100","0-0.02",0.05,"3-4",1,0,0
"403","60-100","0-0.02",0.05,"4-5",1,0,0
"404","60-100","0-0.02",0.05,"5-10",1,0,0
"405","60-100","0-0.02",0.05,"10-20",1,0,0
"406","60-100","0-0.02",0.05,"20-30",1,0,0
"407","60-100","0-0.02",0.05,"30-40",1,0,0
"408","60-100","0-0.02",0.05,"40-50",1,0,0
"409","60-100","0-0.02",0.1,"2-3",1,0,0
"410","60-100","0-0.02",0.1,"3-4",1,0,0
"411","60-100","0-0.02",0.1,"4-5",1,0,0
"412","60-100","0-0.02",0.1,"5-10",1,0,0
"413","60-100","0-0.02",0.1,"10-20",1,0,0
"414","60-100","0-0.02",0.1,"20-30",1,0,0
"415","60-100","0-0.02",0.1,"30-40",1,0,0
"416","60-100","0-0.02",0.1,"40-50",1,0,0
"417","60-100","0-0.02",0.15,"2-3",1,0,0
"418","60-100","0-0.02",0.15,"3-4",1,0,0
"419","60-100","0-0.02",0.15,"4-5",1,0,0
"420","60-100","0-0.02",0.15,"5-10",1,0,0
"421","60-100","0-0.02",0.15,"10-20",1,0,0
"422","60-100","0-0.02",0.15,"20-30",1,0,0
"423","60-100","0-0.02",0.15,"30-40",1,0,0
"424","60-100","0-0.02",0.15,"40-50",1,0,0
"425","60-100","0-0.02",0.2,"2-3",1,0,0
"426","60-100","0-0.02",0.2,"3-4",1,0,0
"427","60-100","0-0.02",0.2,"4-5",1,0,0
"428","60-100","0-0.02",0.2,"5-10",1,0,0
"429","60-100","0-0.02",0.2,"10-20",1,0,0
"430","60-100","0-0.02",0.2,"20-30",1,0,0
"431","60-100","0-0.02",0.2,"30-40",1,0,0
"432","60-100","0-0.02",0.2,"40-50",1,0,0
"433","60-100","0-0.02",0.25,"2-3",1,0,0
"434","60-100","0-0.02",0.25,"3-4",1,0,0
"435","60-100","0-0.02",0.25,"4-5",1,0,0
"436","60-100","0-0.02",0.25,"5-10",1,0,0
"437","60-100","0-0.02",0.25,"10-20",1,0,0
"438","60-100","0-0.02",0.25,"20-30",1,0,0
"439","60-100","0-0.02",0.25,"30-40",1,0,0
"440","60-100","0-0.02",0.25,"40-50",1,0,0
"441","60-100","0.02-0.04",0.05,"2-3",1,0,0
"442","60-100","0.02-0.04",0.05,"3-4",1,0,0
"443","60-100","0.02-0.04",0.05,"4-5",1,0,0
"444","60-100","0.02-0.04",0.05,"5-10",1,0,0
"445","60-100","0.02-0.04",0.05,"10-20",1,0,0
"446","60-100","0.02-0.04",0.05,"20-30",1,0,0
"447","60-100","0.02-0.04",0.05,"30-40",1,0,0
"448","60-100","0.02-0.04",0.05,"40-50",1,0,0
"449","60-100","0.02-0.04",0.1,"2-3",1,0,0
"450","60-100","0.02-0.04",0.1,"3-4",1,0,0
"451","60-100","0.02-0.04",0.1,"4-5",1,0,0
"452","60-100","0.02-0.04",0.1,"5-10",1,0,0
"453","60-100","0.02-0.04",0.1,"10-20",1,0,0
"454","60-100","0.02-0.04",0.1,"20-30",1,0,0
"455","60-100","0.02-0.04",0.1,"30-40",1,0,0
"456","60-100","0.02-0.04",0.1,"40-50",1,0,0
"457","60-100","0.02-0.04",0.15,"2-3",1,0,0
"458","60-100","0.02-0.04",0.15,"3-4",1,0,0
"459","60-100","0.02-0.04",0.15,"4-5",1,0,0
"460","60-100","0.02-0.04",0.15,"5-10",1,0,0
"461","60-100","0.02-0.04",0.15,"10-20",1,0,0
"462","60-100","0.02-0.04",0.15,"20-30",1,0,0
"463","60-100","0.02-0.04",0.15,"30-40",1,0,0
"464","60-100","0.02-0.04",0.15,"40-50",1,0,0
"465","60-100","0.02-0.04",0.2,"2-3",1,0,0
"466","60-100","0.02-0.04",0.2,"3-4",1,0,0
"467","60-100","0.02-0.04",0.2,"4-5",1,0,0
"468","60-100","0.02-0.04",0.2,"5-10",1,0,0
"469","60-100","0.02-0.04",0.2,"10-20",1,0,0
