"","recruitmentLevel_bin","p_bin","prop","nocc_bin","0","1"
"112","1-30","0.04-0.06",0.2,"40-50",0.143911439114391,0.856088560885609
"113","1-30","0.04-0.06",0.25,"2-3",0.634146341463415,0.365853658536585
"114","1-30","0.04-0.06",0.25,"3-4",0.448275862068966,0.551724137931034
"115","1-30","0.04-0.06",0.25,"4-5",0.277777777777778,0.722222222222222
"116","1-30","0.04-0.06",0.25,"5-10",0.377049180327869,0.622950819672131
"117","1-30","0.04-0.06",0.25,"10-20",0.191111111111111,0.808888888888889
"118","1-30","0.04-0.06",0.25,"20-30",0.138775510204082,0.861224489795918
"119","1-30","0.04-0.06",0.25,"30-40",0.107142857142857,0.892857142857143
"120","1-30","0.04-0.06",0.25,"40-50",0.143459915611814,0.856540084388186
"121","1-30","0.06-0.08",0.05,"2-3",0.759259259259259,0.240740740740741
"122","1-30","0.06-0.08",0.05,"3-4",0.758620689655172,0.241379310344828
"123","1-30","0.06-0.08",0.05,"4-5",0.777777777777778,0.222222222222222
"124","1-30","0.06-0.08",0.05,"5-10",0.760330578512397,0.239669421487603
"125","1-30","0.06-0.08",0.05,"10-20",0.585903083700441,0.414096916299559
"126","1-30","0.06-0.08",0.05,"20-30",0.583941605839416,0.416058394160584
"127","1-30","0.06-0.08",0.05,"30-40",0.541044776119403,0.458955223880597
"128","1-30","0.06-0.08",0.05,"40-50",0.510204081632653,0.489795918367347
"129","1-30","0.06-0.08",0.1,"2-3",0.68,0.32
"130","1-30","0.06-0.08",0.1,"3-4",0.84,0.16
"131","1-30","0.06-0.08",0.1,"4-5",0.615384615384615,0.384615384615385
"132","1-30","0.06-0.08",0.1,"5-10",0.541284403669725,0.458715596330275
"133","1-30","0.06-0.08",0.1,"10-20",0.380753138075314,0.619246861924686
"134","1-30","0.06-0.08",0.1,"20-30",0.382978723404255,0.617021276595745
"135","1-30","0.06-0.08",0.1,"30-40",0.236607142857143,0.763392857142857
"136","1-30","0.06-0.08",0.1,"40-50",0.225941422594142,0.774058577405858
"137","1-30","0.06-0.08",0.15,"2-3",0.761194029850746,0.238805970149254
"138","1-30","0.06-0.08",0.15,"3-4",0.409090909090909,0.590909090909091
"139","1-30","0.06-0.08",0.15,"4-5",0.318181818181818,0.681818181818182
"140","1-30","0.06-0.08",0.15,"5-10",0.362962962962963,0.637037037037037
"141","1-30","0.06-0.08",0.15,"10-20",0.271551724137931,0.728448275862069
"142","1-30","0.06-0.08",0.15,"20-30",0.216867469879518,0.783132530120482
"143","1-30","0.06-0.08",0.15,"30-40",0.21455938697318,0.78544061302682
"144","1-30","0.06-0.08",0.15,"40-50",0.130252100840336,0.869747899159664
"145","1-30","0.06-0.08",0.2,"2-3",0.673469387755102,0.326530612244898
"146","1-30","0.06-0.08",0.2,"3-4",0.741935483870968,0.258064516129032
"147","1-30","0.06-0.08",0.2,"4-5",0.461538461538462,0.538461538461538
"148","1-30","0.06-0.08",0.2,"5-10",0.308270676691729,0.691729323308271
"149","1-30","0.06-0.08",0.2,"10-20",0.201646090534979,0.798353909465021
"150","1-30","0.06-0.08",0.2,"20-30",0.149797570850202,0.850202429149798
"151","1-30","0.06-0.08",0.2,"30-40",0.15929203539823,0.84070796460177
"152","1-30","0.06-0.08",0.2,"40-50",0.136363636363636,0.863636363636364
"153","1-30","0.06-0.08",0.25,"2-3",0.543478260869565,0.456521739130435
"154","1-30","0.06-0.08",0.25,"3-4",0.5,0.5
"155","1-30","0.06-0.08",0.25,"4-5",0.458333333333333,0.541666666666667
"156","1-30","0.06-0.08",0.25,"5-10",0.269230769230769,0.730769230769231
"157","1-30","0.06-0.08",0.25,"10-20",0.175732217573222,0.824267782426778
"158","1-30","0.06-0.08",0.25,"20-30",0.119521912350598,0.880478087649402
"159","1-30","0.06-0.08",0.25,"30-40",0.096234309623431,0.903765690376569
"160","1-30","0.06-0.08",0.25,"40-50",0.092436974789916,0.907563025210084
"161","1-30","0.08-0.1",0.05,"2-3",0.921052631578947,0.0789473684210526
"162","1-30","0.08-0.1",0.05,"3-4",0.8125,0.1875
"163","1-30","0.08-0.1",0.05,"4-5",0.588235294117647,0.411764705882353
"164","1-30","0.08-0.1",0.05,"5-10",0.675213675213675,0.324786324786325
"165","1-30","0.08-0.1",0.05,"10-20",0.571428571428571,0.428571428571429
"166","1-30","0.08-0.1",0.05,"20-30",0.452991452991453,0.547008547008547
"167","1-30","0.08-0.1",0.05,"30-40",0.560185185185185,0.439814814814815
"168","1-30","0.08-0.1",0.05,"40-50",0.52093023255814,0.47906976744186
"169","1-30","0.08-0.1",0.1,"2-3",0.708333333333333,0.291666666666667
"170","1-30","0.08-0.1",0.1,"3-4",0.5,0.5
"171","1-30","0.08-0.1",0.1,"4-5",0.375,0.625
"172","1-30","0.08-0.1",0.1,"5-10",0.448818897637795,0.551181102362205
"173","1-30","0.08-0.1",0.1,"10-20",0.387596899224806,0.612403100775194
"174","1-30","0.08-0.1",0.1,"20-30",0.315352697095436,0.684647302904564
"175","1-30","0.08-0.1",0.1,"30-40",0.314176245210728,0.685823754789272
"176","1-30","0.08-0.1",0.1,"40-50",0.339285714285714,0.660714285714286
"177","1-30","0.08-0.1",0.15,"2-3",0.5,0.5
"178","1-30","0.08-0.1",0.15,"3-4",0.5,0.5
"179","1-30","0.08-0.1",0.15,"4-5",0.551724137931034,0.448275862068966
"180","1-30","0.08-0.1",0.15,"5-10",0.339130434782609,0.660869565217391
"181","1-30","0.08-0.1",0.15,"10-20",0.238095238095238,0.761904761904762
"182","1-30","0.08-0.1",0.15,"20-30",0.199233716475096,0.800766283524904
"183","1-30","0.08-0.1",0.15,"30-40",0.195219123505976,0.804780876494024
"184","1-30","0.08-0.1",0.15,"40-50",0.135021097046413,0.864978902953586
"185","1-30","0.08-0.1",0.2,"2-3",0.41304347826087,0.58695652173913
"186","1-30","0.08-0.1",0.2,"3-4",0.409090909090909,0.590909090909091
"187","1-30","0.08-0.1",0.2,"4-5",0.478260869565217,0.521739130434783
"188","1-30","0.08-0.1",0.2,"5-10",0.204081632653061,0.795918367346939
"189","1-30","0.08-0.1",0.2,"10-20",0.185454545454545,0.814545454545455
"190","1-30","0.08-0.1",0.2,"20-30",0.141592920353982,0.858407079646018
"191","1-30","0.08-0.1",0.2,"30-40",0.146825396825397,0.853174603174603
"192","1-30","0.08-0.1",0.2,"40-50",0.130597014925373,0.869402985074627
"193","1-30","0.08-0.1",0.25,"2-3",0.5,0.5
"194","1-30","0.08-0.1",0.25,"3-4",0.409090909090909,0.590909090909091
"195","1-30","0.08-0.1",0.25,"4-5",0.222222222222222,0.777777777777778
"196","1-30","0.08-0.1",0.25,"5-10",0.210526315789474,0.789473684210526
"197","1-30","0.08-0.1",0.25,"10-20",0.131687242798354,0.868312757201646
"198","1-30","0.08-0.1",0.25,"20-30",0.11522633744856,0.88477366255144
"199","1-30","0.08-0.1",0.25,"30-40",0.0823529411764706,0.917647058823529
"200","1-30","0.08-0.1",0.25,"40-50",0.105058365758755,0.894941634241245
"201","30-60","0-0.02",0.05,"2-3",0.964912280701754,0.0350877192982456
"202","30-60","0-0.02",0.05,"3-4",0.9,0.1
"203","30-60","0-0.02",0.05,"4-5",0.857142857142857,0.142857142857143
"204","30-60","0-0.02",0.05,"5-10",0.866071428571429,0.133928571428571
"205","30-60","0-0.02",0.05,"10-20",0.702040816326531,0.297959183673469
"206","30-60","0-0.02",0.05,"20-30",0.616,0.384
"207","30-60","0-0.02",0.05,"30-40",0.641350210970464,0.358649789029536
"208","30-60","0-0.02",0.05,"40-50",0.534545454545455,0.465454545454545
