segment,quantile,val
7,0.26,508.96
7,0.27,511.63
7,0.28,515.32
7,0.29,519.01
7,0.3,521.5
7,0.31,523.55
7,0.32,526.8
7,0.33,532.95
7,0.34,539.1
7,0.35,540
7,0.36,540
7,0.37,541.02
7,0.38,543.48
7,0.39,545.94
7,0.4,547.6
7,0.41,549.24
7,0.42,552.64
7,0.43,557.56
7,0.44,562.2
7,0.45,564.25
7,0.46,566.3
7,0.47,567.81
7,0.48,569.04
7,0.49,570.72
7,0.5,574
7,0.51,577.28
7,0.52,578.32
7,0.53,578.73
7,0.54,580.82
7,0.55,586.15
7,0.56,591.48
7,0.57,607.91
7,0.58,625.54
7,0.59,641.46
7,0.6,655.4
7,0.61,669.16
7,0.62,675.72
7,0.63,682.28
7,0.64,685.24
7,0.65,685.65
7,0.66,687.02
7,0.67,693.99
7,0.68,700.96
7,0.69,704.45
7,0.7,706.5
7,0.71,718.89
7,0.72,759.48
7,0.73,800.07
7,0.74,807.34
7,0.75,807.75
7,0.76,809.44
7,0.77,813.13
7,0.78,816.82
7,0.79,827.53
7,0.8,838.6
7,0.81,847.99
7,0.82,855.78
7,0.83,863.81
7,0.84,874.88
7,0.85,885.95
7,0.86,892.86
7,0.87,897.37
7,0.88,901.64
7,0.89,904.92
7,0.9,908.2
7,0.91,909.31
7,0.92,909.72
7,0.93,915.85
7,0.94,934.3
7,0.95,952.75
7,0.96,968.32
7,0.97,983.49
7,0.98,992.9
7,0.99,994.95
7,1,997
8,0,205
8,0.01,208.88
8,0.02,212
8,0.03,218
8,0.04,220.64
8,0.05,233.6
8,0.06,245.6
8,0.07,276.44
8,0.08,379.52
8,0.09,403.16
8,0.1,431.4
8,0.11,438.52
8,0.12,453.56
8,0.13,460.72
8,0.14,462.24
8,0.15,468.2
8,0.16,472.52
8,0.17,479.24
8,0.18,481.92
8,0.19,487.72
8,0.2,491.4
8,0.21,494.44
8,0.22,505.84
8,0.23,513.36
8,0.24,523.56
8,0.25,526
8,0.26,526.72
8,0.27,540.44
8,0.28,545.48
8,0.29,550.64
8,0.3,567.2
8,0.31,591.6
8,0.32,620.2
8,0.33,626.52
8,0.34,636.64
8,0.35,650.2
8,0.36,660.2
8,0.37,665
8,0.38,672.16
8,0.39,680.16
