"","GN14.1","GN14.2","GN14.3","GN14.4","GN14.5","GN14.6","GN14.7","GN14.8","GN14.9","GN14.10","GN18.1","GN18.2","GN18.3","GN18.4","GN18.5","GN18.6","GN18.7","GN18.8","GN18.9","GN18.10","GN41.1","GN41.2","GN41.3","GN41.4","GN41.5","GN41.6","GN41.7","GN41.8","GN41.9","GN41.10","GN81.1","GN81.2","GN81.3","GN81.4","GN81.5","GN81.6","GN81.7","GN81.8","GN81.9","GN81.10","MF.1","MF.2","MF.3","MF.4","MF.5","MF.6","MF.7","MF.8","MF.9","MF.10","OT16.1","OT16.2","OT16.3","OT16.4","OT16.5","OT16.6","OT16.7","OT16.8","OT16.9","OT16.10","TLC1.1","TLC1.2","TLC1.3","TLC1.4","TLC1.5","TLC1.6","TLC1.7","TLC1.8","TLC1.9","TLC1.10","TLC2.1","TLC2.2","TLC2.3","TLC2.4","TLC2.5","TLC2.6","TLC2.7","TLC2.8","TLC2.9","TLC2.10","TN.1","TN.2","TN.3","TN.4","TN.5","TN.6","TN.7","TN.8","TN.9","TN.10"
"433",13,12,10,6,8,17,10,10,7,8,18,13,7,8,16,11,13,11,8,6,10,11,12,13,7,10,10,8,9,4,6,15,6,7,4,8,7,12,4,6,11,9,12,10,9,3,8,7,7,4,1,0,0,0,0,0,0,0,0,0,10,11,12,9,8,9,11,11,8,5,10,12,7,10,11,8,7,8,8,7,0,1,1,1,0,0,0,0,0,3
"434",9,4,4,2,7,11,9,7,5,3,9,7,8,10,4,9,7,4,3,5,9,7,8,7,8,7,9,5,6,3,8,13,3,10,8,8,9,9,6,4,5,9,7,6,10,9,8,7,6,9,0,0,0,0,1,0,3,0,1,0,6,7,7,5,9,9,10,6,6,3,11,9,9,8,9,4,8,7,5,5,0,3,1,0,1,0,0,0,0,0
"435",5,2,6,6,4,2,5,4,3,5,2,5,6,5,5,6,3,4,5,5,6,6,5,8,6,4,5,0,1,4,8,6,7,7,6,2,5,3,3,6,7,3,6,2,3,5,5,4,0,2,0,1,0,0,0,1,0,0,0,0,11,4,3,5,5,8,3,5,4,9,5,7,2,6,3,2,2,3,4,3,0,0,0,0,1,0,0,0,0,0
"436",15,20,14,16,8,8,12,11,9,11,13,10,11,13,15,11,9,12,6,8,16,13,19,15,16,10,10,15,11,8,17,9,6,14,19,12,12,14,13,10,18,14,15,15,15,8,11,14,12,7,0,0,0,0,0,0,1,0,0,0,17,25,12,19,11,17,8,15,9,11,12,12,10,15,17,14,11,12,9,9,0,1,0,0,1,0,0,0,1,1
"437",12,13,10,11,7,7,9,11,3,4,12,7,11,8,10,5,6,9,6,5,14,9,12,4,11,7,4,5,3,5,14,9,9,9,9,11,4,7,5,6,18,6,8,10,7,11,4,6,9,3,0,0,0,0,0,0,0,0,2,0,10,10,10,9,10,7,5,3,5,10,12,9,5,7,9,7,5,6,5,9,1,0,1,0,0,0,0,0,0,0
"438",14,2,6,8,9,6,3,7,6,6,10,8,5,5,5,6,7,6,6,5,12,8,5,11,10,9,6,6,8,5,6,7,7,7,8,4,7,9,4,4,7,9,6,8,6,2,5,5,5,9,0,0,0,0,0,0,0,0,0,0,5,3,5,5,6,8,2,8,5,6,10,4,15,12,7,10,6,4,7,4,0,1,0,0,0,0,0,2,0,0
"439",12,7,7,8,4,7,8,5,8,9,10,3,11,10,10,5,5,4,5,8,12,5,9,6,8,10,5,9,3,5,9,4,10,9,5,6,4,7,8,3,8,11,5,5,7,1,6,8,7,5,0,0,1,0,0,0,0,0,0,0,15,13,7,9,10,4,4,5,3,5,11,8,6,5,5,4,4,4,3,11,2,0,0,0,0,0,0,0,0,0
"440",19,16,20,17,13,16,15,14,12,10,17,15,17,16,13,14,14,18,14,11,18,19,13,22,15,17,13,16,17,8,23,19,16,22,17,13,11,8,12,14,23,19,19,16,16,14,15,12,8,10,0,1,0,0,0,0,0,0,0,0,14,14,19,18,17,15,15,15,16,14,22,27,16,12,24,11,17,9,15,10,0,1,1,0,4,3,1,1,0,0
"441",19,13,8,9,10,10,9,10,9,6,11,10,12,8,8,10,9,10,8,10,11,12,13,7,9,8,13,6,9,8,10,12,13,7,8,13,9,11,11,9,14,20,6,11,11,10,6,14,7,10,0,0,1,1,0,0,0,0,0,0,15,12,13,12,8,12,13,8,8,8,14,6,8,12,8,9,12,10,11,8,0,0,0,0,0,0,0,0,0,0
"442",14,16,9,18,13,11,21,10,15,12,17,15,12,16,11,15,9,12,14,13,20,17,17,16,14,9,14,9,12,11,15,19,10,17,12,10,13,7,9,14,14,14,13,16,11,15,13,7,15,11,0,0,1,0,0,2,0,1,0,0,21,17,17,14,14,13,12,6,8,13,12,14,19,11,12,14,12,6,13,6,0,1,0,2,0,0,0,0,0,0
"443",34,30,26,22,17,14,25,17,16,14,23,29,28,20,15,15,28,16,11,20,27,20,26,21,20,19,18,21,21,18,27,23,19,17,20,19,14,12,15,18,26,29,28,16,20,25,18,10,11,13,0,0,0,2,0,1,0,1,1,0,27,29,25,21,18,18,15,13,15,9,29,32,19,19,24,10,12,14,15,16,0,0,2,3,1,0,0,0,0,0
"444",14,13,9,13,6,8,10,2,3,5,12,9,11,9,12,9,6,4,9,5,18,12,11,12,10,8,6,7,7,4,6,13,11,11,6,6,8,4,6,6,13,14,9,12,11,8,9,4,7,11,0,0,1,0,1,2,0,0,0,0,10,11,9,7,12,9,10,6,5,6,9,12,11,12,8,9,8,5,7,6,1,0,0,0,0,2,0,0,1,2
"445",4,4,5,1,3,6,2,1,5,4,3,4,1,3,1,4,1,0,2,2,5,2,3,3,3,2,4,2,2,1,5,5,1,3,3,3,2,2,3,2,4,3,3,2,4,3,4,2,1,5,0,0,0,0,0,0,0,0,0,0,3,2,3,5,3,2,1,1,2,3,4,2,4,4,2,1,3,3,1,2,0,0,0,0,0,0,0,1,0,0
"446",11,13,13,11,8,7,6,4,11,2,15,7,8,13,12,7,8,12,10,8,9,12,9,16,13,14,11,9,4,4,12,7,13,6,6,9,9,8,6,10,14,13,10,8,9,9,7,8,8,14,0,0,0,0,1,0,1,1,0,0,10,12,8,11,11,3,9,12,5,9,7,14,8,11,13,10,7,6,6,8,3,0,0,0,1,0,0,0,1,0
"447",7,3,5,4,2,6,8,1,2,4,2,4,2,5,3,1,3,0,2,3,4,6,4,5,6,2,5,2,5,5,3,5,5,6,4,5,2,2,1,3,8,3,4,6,3,5,4,3,3,2,0,0,1,1,0,0,0,0,0,0,6,4,3,2,5,2,2,2,2,3,4,5,3,6,5,3,3,3,3,2,0,0,1,1,0,0,0,0,0,0
"448",8,11,9,9,14,9,11,5,10,5,10,13,13,7,7,8,9,10,5,9,15,10,16,13,9,10,6,10,7,10,10,14,10,8,9,4,11,8,7,4,10,14,9,12,7,8,13,7,5,4,1,0,0,0,0,0,0,0,0,0,7,5,13,6,7,8,4,10,9,7,8,7,12,14,8,6,7,5,6,7,0,1,1,0,1,0,1,0,0,0
"449",10,16,15,11,12,7,12,7,6,5,12,9,9,15,7,15,8,9,11,5,14,11,11,13,10,11,6,11,11,8,11,11,16,12,7,13,9,8,8,7,15,9,8,9,10,10,13,7,8,11,0,0,0,0,0,1,1,0,1,0,16,16,8,11,10,9,6,8,9,7,12,10,13,7,10,18,9,11,12,8,1,1,0,1,0,1,1,0,0,1
"450",8,10,10,4,7,2,7,6,4,6,7,6,7,9,9,4,4,9,8,5,10,10,9,11,4,4,6,7,4,5,11,7,6,5,3,7,6,4,6,3,8,7,5,6,6,7,8,6,5,5,0,0,0,1,0,0,0,0,0,0,13,12,5,10,7,6,4,5,4,7,10,3,4,6,6,6,6,3,2,5,0,1,0,1,0,0,0,0,0,0
"451",10,6,6,6,6,8,4,6,7,4,5,6,3,7,5,3,6,3,6,8,7,8,6,3,7,8,9,8,4,4,6,7,3,8,4,5,3,5,4,2,5,5,8,3,7,6,7,8,5,6,0,0,0,0,0,0,0,0,0,0,4,7,4,5,3,8,7,9,5,6,5,3,6,3,8,5,5,7,4,3,0,0,0,0,0,0,0,0,0,0
"452",11,6,8,7,8,12,8,5,6,11,6,11,5,9,13,9,7,8,8,10,12,11,10,9,10,5,9,4,7,4,7,10,8,10,7,4,6,5,10,7,12,8,11,8,5,7,9,8,8,9,1,0,1,0,0,0,0,0,0,0,14,16,9,11,11,8,4,7,9,9,9,11,12,7,10,12,4,4,8,7,0,1,1,2,0,0,0,1,0,0
"453",9,8,9,8,12,7,6,6,4,4,13,8,8,6,7,7,6,5,6,4,12,7,9,10,8,8,3,11,5,5,8,8,7,6,6,7,6,6,6,7,12,7,2,9,9,7,6,8,7,6,0,0,0,0,1,0,0,0,0,0,10,7,8,7,5,8,5,9,4,6,10,6,7,5,9,4,7,6,4,1,1,0,1,1,0,0,0,0,0,0
"454",17,11,12,10,15,7,12,13,7,10,13,11,9,7,14,13,7,12,5,8,11,16,10,10,12,14,14,7,7,11,17,16,10,10,11,10,12,13,12,8,14,11,9,11,14,10,12,8,11,10,0,0,0,0,0,0,1,0,0,0,14,10,17,11,14,11,11,13,3,8,11,15,9,15,10,7,16,9,4,11,0,0,0,0,1,0,0,0,0,0
"455",5,5,11,8,10,3,2,1,4,5,5,5,6,9,6,6,4,6,5,1,5,7,6,5,6,5,4,4,3,4,10,11,3,5,6,5,4,3,3,7,6,6,8,8,7,5,6,5,3,5,0,0,0,0,1,0,0,0,0,0,6,6,8,9,7,3,3,2,5,4,7,9,4,9,4,7,7,4,2,3,0,0,0,1,0,0,0,0,1,0
"456",6,4,6,6,7,5,2,5,1,3,7,4,4,6,4,8,4,6,2,2,6,4,5,5,3,6,5,3,2,3,5,7,5,2,4,3,6,3,5,4,2,4,5,2,4,6,5,4,4,3,0,0,2,0,0,0,0,0,0,1,4,5,4,6,6,4,3,6,3,3,1,3,5,4,6,3,4,5,3,1,0,0,0,0,0,0,0,0,0,0
"457",5,3,4,6,5,6,5,7,5,2,6,5,7,5,9,4,6,7,2,4,7,5,4,4,6,7,6,3,1,4,7,8,5,8,5,3,10,4,3,2,6,11,4,6,7,8,5,5,6,2,0,0,0,0,0,0,0,0,0,0,7,6,4,5,3,5,8,8,6,4,7,9,6,8,2,1,6,5,7,7,0,0,0,0,0,0,2,0,0,0
"458",8,5,6,9,7,5,7,9,4,7,9,8,10,5,4,5,3,6,5,2,10,7,7,8,8,4,5,6,2,4,7,7,6,7,4,6,7,6,4,4,10,4,5,10,8,7,5,7,6,4,0,0,0,0,1,0,0,1,0,0,10,4,11,6,4,10,9,8,4,2,6,9,6,8,5,6,7,7,4,2,0,0,0,1,0,0,0,0,0,0
"459",20,17,18,15,13,13,10,8,11,8,16,13,13,14,14,5,8,6,7,7,17,18,17,10,16,9,12,8,12,12,11,16,12,14,10,9,12,8,8,6,12,19,23,8,21,11,10,8,8,7,0,0,0,0,0,0,1,0,1,0,18,11,15,13,12,11,14,12,11,10,10,18,14,12,15,11,7,9,10,5,1,0,1,1,0,1,1,0,1,0
